age,gender,mother.tongue,genre,amazement,solemnity,tenderness,nostalgia,calmness,power,joyful_activation,tension,sadness,liked,disliked,emotional_intensity
21,Female,English,classical,0,1,0,0,0,0,1,1,0,1,0,3
41,Female,Dutch,classical,0,0,0,1,0,0,0,0,0,0,1,1
24,Female,English,classical,0,0,0,1,0,0,0,0,1,0,0,2
32,Male,Spanish,classical,0,0,0,0,1,0,0,0,0,0,0,1
21,Male,English,classical,0,0,0,1,1,0,0,0,0,0,1,2
45,Female,English,classical,0,1,0,1,0,0,0,0,1,0,0,3
30,Male,German,classical,0,0,0,0,1,0,0,0,0,0,1,1
70,Female,English,classical,0,1,1,0,1,0,0,0,0,1,0,3
60,Male,English,classical,0,0,0,0,1,0,1,0,0,1,0,2
54,Male,German,classical,0,0,0,0,1,0,0,0,0,1,0,1
16,Female,English,classical,0,0,0,1,1,0,1,0,0,1,0,3
30,Female,Dutch,classical,0,0,1,1,0,0,0,0,0,0,0,2
33,Male,Russian,classical,0,0,1,1,0,0,0,0,1,0,0,3
16,Female,Swedish,classical,0,0,0,1,1,0,0,0,1,0,0,3
33,Male,Dutch,classical,1,0,0,0,1,0,0,0,1,0,0,3
41,Male,English,classical,0,1,0,0,0,0,0,0,0,0,1,1
40,Male,German,classical,1,1,0,0,0,0,1,0,0,1,0,3
61,Male,English,classical,0,0,1,0,0,0,0,0,1,1,0,2
26,Male,French,classical,0,1,0,0,0,1,0,0,1,0,0,3
22,Male,Malay,classical,1,0,0,0,1,0,0,0,0,0,0,2
51,Male,Dutch,classical,0,0,0,1,0,0,0,0,0,0,0,1
20,Male,English,classical,0,0,0,0,1,0,0,0,0,1,0,1
41,Female,Russian,classical,0,0,0,0,1,0,0,0,0,1,0,1
63,Male,Dutch,classical,0,1,1,0,1,0,0,0,0,1,0,3
37,Male,German,classical,0,0,0,1,1,0,0,0,0,0,0,2
33,Male,Russian,classical,0,0,1,1,0,0,0,0,1,1,0,3
51,Male,English,classical,0,1,0,0,1,0,0,0,1,0,1,3
21,Female,English,classical,1,1,0,0,1,0,0,0,0,0,0,3
30,Male,English,classical,0,0,0,0,0,0,0,0,1,0,0,1
60,Female,English,classical,0,1,0,1,0,0,0,0,1,0,0,3
21,Male,English,classical,1,0,1,0,1,0,0,0,0,1,0,3
46,Female,French,classical,0,0,0,0,1,0,0,0,0,0,0,1
25,Female,English,classical,0,0,0,0,0,0,0,0,1,0,1,1
42,Female,Tamil,classical,0,0,0,0,1,0,0,0,0,0,0,1
28,Male,English,classical,0,1,0,0,1,0,0,0,1,1,0,3
37,Male,German,classical,0,1,1,0,1,0,0,0,0,1,0,3
57,Female,English,classical,0,0,0,1,0,0,0,0,0,1,0,1
22,Female,English,classical,0,0,0,1,1,0,0,1,0,0,0,3
24,Male,English,classical,0,0,1,0,0,0,0,1,1,0,1,3
30,Male,Dutch,classical,1,0,1,0,1,0,0,0,0,1,0,3
49,Male,Swedish,classical,0,0,0,0,1,0,0,0,0,0,0,1
41,Female,English,classical,0,1,0,0,1,0,0,0,0,0,0,2
51,Male,Dutch,classical,0,0,0,0,1,0,0,0,1,0,0,2
27,Male,Catalan,classical,0,1,0,0,1,0,0,0,0,0,0,2
23,Male,English,classical,1,1,0,0,1,0,0,0,0,1,0,3
24,Female,Russian,classical,0,1,0,0,1,0,0,0,0,1,0,2
22,Male,Russian,classical,0,0,0,0,1,0,0,0,0,1,0,1
28,Female,Estonian,classical,0,0,0,0,0,0,0,0,0,0,1,0
41,Female,Dutch,classical,0,0,0,0,1,0,0,0,0,1,0,1
18,Male,Dutch,classical,0,1,0,1,1,0,0,0,0,1,0,3
22,Male,English,classical,0,0,0,0,1,1,0,0,0,1,0,2
22,Female,French,classical,0,1,1,0,1,0,0,0,0,1,0,3
36,Female,Japanese,classical,0,0,0,0,1,0,0,0,0,1,0,1
54,Male,German,classical,0,1,1,0,1,0,0,0,0,1,0,3
46,Female,Dutch,classical,0,0,1,0,1,0,0,0,0,0,0,2
45,Female,English,classical,0,0,0,0,1,0,0,0,0,0,0,1
22,Male,Dutch,classical,1,1,0,0,0,0,0,0,0,1,0,2
70,Female,English,classical,0,0,1,0,1,0,0,0,0,1,0,2
46,Female,Greek,classical,0,0,1,0,1,0,0,0,0,1,0,2
16,Female,English,classical,0,1,0,1,0,0,1,0,0,1,0,3
32,Male,English,classical,0,0,1,1,1,0,0,0,0,0,0,3
30,Female,Dutch,classical,0,0,0,1,1,0,0,0,0,0,0,2
33,Male,French,classical,0,0,1,0,1,0,0,0,0,1,0,2
51,Male,Dutch,classical,0,0,0,1,0,0,0,0,0,1,0,1
63,Male,Dutch,classical,0,0,1,1,1,0,0,0,0,1,0,3
37,Male,German,classical,0,0,0,1,1,0,0,0,1,0,0,3
27,Male,German,classical,0,0,1,1,1,0,0,0,0,0,1,3
33,Male,Russian,classical,0,0,0,1,1,0,0,0,1,0,0,3
30,Female,English,classical,0,0,0,0,1,0,0,0,1,1,0,2
25,Female,English,classical,0,0,0,1,0,0,0,0,1,1,0,2
58,Female,Dutch,classical,1,0,0,0,0,0,0,1,0,0,0,2
22,Female,English,classical,0,0,1,0,0,1,0,0,0,0,0,2
20,Male,Dutch,classical,0,0,0,0,1,0,0,0,0,0,1,1
36,Female,Spanish,classical,0,0,0,0,1,0,0,0,0,1,0,1
25,Male,Russian,classical,0,0,1,0,0,0,0,0,0,1,0,1
34,Female,Portuguese,classical,0,0,1,0,0,0,0,0,0,0,0,1
25,Female,Russian,classical,0,0,0,0,1,0,0,0,0,0,0,1
51,Male,Dutch,classical,0,0,0,0,1,0,0,0,0,0,1,1
30,Male,Dutch,classical,0,1,0,1,1,0,0,0,0,1,0,3
38,Female,Russian,classical,1,0,1,1,0,0,0,0,0,1,0,3
22,Male,Dutch,classical,0,0,1,0,1,0,0,0,0,1,0,2
51,Male,English,classical,0,0,0,0,1,0,0,0,0,1,0,1
50,Male,English,classical,0,0,1,1,1,0,0,0,0,0,0,3
23,Male,English,classical,1,0,0,1,1,0,0,0,0,1,0,3
33,Male,Czech,classical,0,0,1,0,1,0,0,0,0,1,0,2
