"","user_id","age","gender","country","age_clean","age_numeric","age_group","emotional_intensity","emotional_sd","emotional_min","emotional_max","num_reviews","avg_rating_given","avg_sentiment","total_helpful_votes","first_review_year","last_review_year","satisfaction","satisfaction_sd","satisfaction_min","satisfaction_max","num_ratings","num_movies_watched","avg_watch_duration","avg_completion","pct_high_completion","first_watch_year","last_watch_year","mobile_ratio","desktop_ratio","tablet_ratio","tv_ratio","preferred_genre"
"1","user_00002",38,"Male","USA","38",38,"36-50",3.15,NA,3.15,3.15,4,3.5,0.5375,10,2024,2025,3.33333333333333,NA,3.33333333333333,3.33333333333333,6,6,60.18,64.425,25,2024,2025,0,0.166666666666667,0.166666666666667,0.333333333333333,"Documentary"
"2","user_00044",42,"Male","Canada","42",42,"36-50",3.572,NA,3.572,3.572,3,3.33333333333333,0.643,9,2024,2025,4.66666666666667,NA,4.66666666666667,4.66666666666667,3,3,143.2,40.95,0,2024,2025,0.333333333333333,0,0,0.333333333333333,"Adventure"
"3","user_00056",37,"Female","Canada","37",37,"36-50",3.81066666666667,NA,3.81066666666667,3.81066666666667,3,4.66666666666667,0.702666666666667,8,2025,2025,1,NA,1,1,3,3,84.0666666666667,65.7,0,2024,2025,0,0,0.333333333333333,0,"Animation"
"4","user_00072",28,"Female","USA","28",28,"26-35",3.538,NA,3.538,3.538,4,4,0.6345,5,2024,2025,3.71428571428571,NA,3.71428571428571,3.71428571428571,7,6,68.0857142857143,60.4428571428571,28.5714285714286,2024,2025,0.285714285714286,0,0.428571428571429,0.142857142857143,"Family"
"5","user_00073",39,"Other/Not Specified","Canada","39",39,"36-50",3.47,NA,3.47,3.47,4,4,0.6175,15,2024,2025,3.66666666666667,NA,3.66666666666667,3.66666666666667,3,3,24.9666666666667,56.8333333333333,33.3333333333333,2024,2024,0,0,0,0.666666666666667,"Adventure"
"6","user_00113",37,"Male","Canada","37",37,"36-50",3.86,NA,3.86,3.86,3,4.66666666666667,0.715,5,2024,2025,3.66666666666667,NA,3.66666666666667,3.66666666666667,3,3,46.4333333333333,76.5,0,2025,2025,0.666666666666667,0,0,0,"Documentary"
"7","user_00152",23,"Male","USA","23",23,"19-25",4.2552,NA,4.2552,4.2552,5,4.2,0.8138,6,2024,2025,3.33333333333333,NA,3.33333333333333,3.33333333333333,3,3,138.466666666667,79.4,66.6666666666667,2024,2024,0.333333333333333,0.333333333333333,0,0.333333333333333,"Sci-Fi"
"8","user_00188",42,"Female","USA","42",42,"36-50",3.78933333333333,NA,3.78933333333333,3.78933333333333,6,4,0.697333333333333,11,2024,2025,1.66666666666667,NA,1.66666666666667,1.66666666666667,3,3,62.8333333333333,53.1666666666667,0,2024,2025,0,0.333333333333333,0.333333333333333,0,"Mystery"
"9","user_00210",30,"Male","Canada","30",30,"26-35",4.24533333333333,NA,4.24533333333333,4.24533333333333,3,3.66666666666667,0.811333333333333,10,2024,2025,3.66666666666667,NA,3.66666666666667,3.66666666666667,6,6,34.0166666666667,54.9,40,2024,2025,0.166666666666667,0.166666666666667,0.5,0,"Animation"
"10","user_00225",43,"Male","USA","43",43,"36-50",4.204,NA,4.204,4.204,3,4.66666666666667,0.801,6,2025,2025,2.33333333333333,NA,2.33333333333333,2.33333333333333,3,3,23.8333333333333,48.6666666666667,0,2024,2025,0.333333333333333,0,0.333333333333333,0.333333333333333,"History"
