"user_id","age","gender","country","age_clean","age_numeric","age_group","emotional_connection","emotional_sd","emotional_min","emotional_max","num_reviews","avg_rating_given","avg_sentiment","total_helpful_votes","first_review_year","last_review_year","pct_high_sentiment","pct_low_sentiment","satisfaction","satisfaction_sd","satisfaction_min","satisfaction_max","num_ratings","num_movies_watched","avg_watch_duration","avg_completion","pct_high_completion","first_watch_year","last_watch_year","mobile_ratio","desktop_ratio","tablet_ratio","tv_ratio","preferred_genre"
"user_08143",56,"Male","USA","56",56,"50+",3.95,2.38786864518689,1.265,5.98,4,2.25,0.34,14,2025,2025,0,50,3.85714285714286,NA,3.85714285714286,3.85714285714286,7,7,81.3,48.1,0,2024,2025,0.571428571428571,0,0.285714285714286,0,"Fantasy"
"user_09223",53,"Male","USA","53",53,"50+",4.0675,3.30833417296379,2.205,9.025,4,2.5,0.3135,2,2025,2025,25,75,3.75,NA,3.75,3.75,4,3,37.325,17.925,0,2024,2025,0,0,0.75,0.25,"Animation"
"user_03602",38,"Male","Canada","38",38,"35-49",8.39333333333333,0.311140375607752,8.035,8.595,3,4.66666666666667,0.745333333333333,15,2025,2025,66.6666666666667,0,3.33333333333333,NA,3.33333333333333,3.33333333333333,3,3,59.7333333333333,61.5,0,2025,2025,0.333333333333333,0.333333333333333,0,0,"Animation"
"user_03932",34,"Female","Canada","34",34,"25-34",5.52333333333333,3.44996497566763,1.57,7.925,3,3,0.504666666666667,15,2024,2025,33.3333333333333,33.3333333333333,3,NA,3,3,3,3,61.7,63.1,33.3333333333333,2024,2024,0,0.333333333333333,0.333333333333333,0,"Sci-Fi"
"user_02375",48,"Male","USA","48",48,"35-49",6.716,3.20882260338586,1.55,9.01,5,3.6,0.6232,10,2024,2025,60,20,3.66666666666667,NA,3.66666666666667,3.66666666666667,3,2,59.5,2.9,0,2025,2025,0.333333333333333,0.666666666666667,0,0,"Fantasy"
"user_06054",30,"Female","USA","30",30,"25-34",7.07166666666667,1.64939635422579,5.32,8.595,3,4,0.614333333333333,9,2025,2025,33.3333333333333,0,3.66666666666667,NA,3.66666666666667,3.66666666666667,3,3,37.1,61.5333333333333,0,2024,2025,0,0.333333333333333,0,0.333333333333333,"Crime"
"user_04842",38,"Male","USA","38",38,"35-49",5.78166666666667,0.0461880215351696,5.755,5.835,3,3,0.556333333333333,13,2024,2025,0,0,2.6,NA,2.6,2.6,5,5,41.475,58.18,20,2024,2025,0.2,0.2,0,0.2,"Music"
"user_05068",46,"Male","USA","46",46,"35-49",5.575,3.58643625344157,2.28,9.395,3,3.33333333333333,0.448333333333333,7,2024,2024,33.3333333333333,33.3333333333333,3.75,NA,3.75,3.75,4,3,76.4,71.375,25,2024,2025,0.25,0,0.5,0,"Drama"
"user_00258",38,"Female","USA","38",38,"35-49",7.205,1.42894191624432,5.555,8.03,3,4.33333333333333,0.574333333333333,3,2025,2025,0,0,2,NA,2,2,3,3,57.5,22.9,0,2024,2025,0.333333333333333,0,0.333333333333333,0.333333333333333,"Documentary"
"user_07395",31,"Other/Not Specified","Canada","31",31,"25-34",5.38375,3.16354330616794,1.515,9.24,4,3,0.47675,9,2024,2025,25,25,2,NA,2,2,3,3,54.0333333333333,49.65,50,2024,2025,0,0.333333333333333,0.333333333333333,0,"Adventure"
"user_01690",40,"Male","USA","40",40,"35-49",7.47,1.85259277770372,5.38,8.91,3,3.66666666666667,0.760666666666667,5,2024,2024,66.6666666666667,0,3.25,NA,3.25,3.25,4,4,49.225,69.1,25,2024,2025,0.5,0,0.25,0,"Music"
