,user_id,age,gender,country,age_clean,age_numeric,age_group,emotional_intensity,emotional_sd,emotional_min,emotional_max,num_reviews,avg_rating_given,avg_sentiment,total_helpful_votes,first_review_year,last_review_year,satisfaction,satisfaction_sd,satisfaction_min,satisfaction_max,num_ratings,num_movies_watched,avg_watch_duration,avg_completion,pct_high_completion,first_watch_year,last_watch_year,mobile_ratio,desktop_ratio,tablet_ratio,tv_ratio,preferred_genre
1,user_08143,56,Male,USA,56,56,50+,2.36,NA,2.36,2.36,4,2.25,0.34,14,2025,2025,3.857142857,NA,3.857142857,3.857142857,7,7,81.3,48.1,0,2024,2025,0.571428571,0,0.285714286,0,Fantasy
2,user_09223,53,Male,USA,53,53,50+,2.254,NA,2.254,2.254,4,2.5,0.3135,2,2025,2025,3.75,NA,3.75,3.75,4,3,37.325,17.925,0,2024,2025,0,0,0.75,0.25,Animation
3,user_03602,38,Male,Canada,38,38,36-50,3.981333333,NA,3.981333333,3.981333333,3,4.666666667,0.745333333,15,2025,2025,3.333333333,NA,3.333333333,3.333333333,3,3,59.73333333,61.5,0,2025,2025,0.333333333,0.333333333,0,0,Animation
4,user_03932,34,Female,Canada,34,34,26-35,3.018666667,NA,3.018666667,3.018666667,3,3,0.504666667,15,2024,2025,3,NA,3,3,3,3,61.7,63.1,33.33333333,2024,2024,0,0.333333333,0.333333333,0,Sci-Fi
5,user_02375,48,Male,USA,48,48,36-50,3.4928,NA,3.4928,3.4928,5,3.6,0.6232,10,2024,2025,3.666666667,NA,3.666666667,3.666666667,3,2,59.5,2.9,0,2025,2025,0.333333333,0.666666667,0,0,Fantasy
6,user_06054,30,Female,USA,30,30,26-35,3.457333333,NA,3.457333333,3.457333333,3,4,0.614333333,9,2025,2025,3.666666667,NA,3.666666667,3.666666667,3,3,37.1,61.53333333,0,2024,2025,0,0.333333333,0,0.333333333,Crime
7,user_04842,38,Male,USA,38,38,36-50,3.225333333,NA,3.225333333,3.225333333,3,3,0.556333333,13,2024,2025,2.6,NA,2.6,2.6,5,5,41.475,58.18,20,2024,2025,0.2,0.2,0,0.2,Music
8,user_05068,46,Male,USA,46,46,36-50,2.793333333,NA,2.793333333,2.793333333,3,3.333333333,0.448333333,7,2024,2024,3.75,NA,3.75,3.75,4,3,76.4,71.375,25,2024,2025,0.25,0,0.5,0,Drama
9,user_00258,38,Female,USA,38,38,36-50,3.297333333,NA,3.297333333,3.297333333,3,4.333333333,0.574333333,3,2025,2025,2,NA,2,2,3,3,57.5,22.9,0,2024,2025,0.333333333,0,0.333333333,0.333333333,Documentary
10,user_07395,31,Other/Not Specified,Canada,31,31,26-35,2.907,NA,2.907,2.907,4,3,0.47675,9,2024,2025,2,NA,2,2,3,3,54.03333333,49.65,50,2024,2025,0,0.333333333,0.333333333,0,Adventure
11,user_01690,40,Male,USA,40,40,36-50,4.042666667,NA,4.042666667,4.042666667,3,3.666666667,0.760666667,5,2024,2024,3.25,NA,3.25,3.25,4,4,49.225,69.1,25,2024,2025,0.5,0,0.25,0,Music
12,user_06961,15,Other/Not Specified,Canada,15,15,13-18,3.657333333,NA,3.657333333,3.657333333,3,4.333333333,0.664333333,6,2024,2025,3.75,NA,3.75,3.75,4,4,22.33333333,28.975,0,2025,2025,0,0.25,0,0.5,Drama
13,user_07060,39,Male,USA,39,39,36-50,4.774,NA,4.774,4.774,4,4,0.9435,7,2024,2025,4,NA,4,4,7,7,202.9166667,58.17142857,14.28571429,2024,2025,0.142857143,0,0,0.285714286,Biography
14,user_00475,43,Male,Canada,43,43,36-50,3.764,NA,3.764,3.764,3,3.666666667,0.691,6,2024,2025,3,NA,3,3,3,3,41.86666667,19.3,0,2024,2025,0,0,0,0.666666667,War
15,user_08395,31,Male,USA,31,31,26-35,4.130666667,NA,4.130666667,4.130666667,3,5,0.782666667,9,2024,2025,4,NA,4,4,3,3,41.93333333,46.03333333,0,2024,2025,0.666666667,0.333333333,0,0,Adventure
16,user_04400,58,Male,USA,58,58,50+,4.028,NA,4.028,4.028,3,3.666666667,0.757,5,2024,2025,3,NA,3,3,3,3,30.26666667,74.4,33.33333333,2025,2025,0,0.333333333,0.333333333,0.333333333,Animation
17,user_07379,62,Male,USA,62,62,50+,3.9696,NA,3.9696,3.9696,5,3.6,0.7424,10,2024,2025,4,NA,4,4,4,4,77.33333333,35.925,0,2024,2025,0.25,0,0.75,0,Adventure
18,user_02858,29,Male,Canada,29,29,26-35,2.608,NA,2.608,2.608,3,3,0.402,12,2024,2025,2,NA,2,2,4,4,35.825,62.2,50,2024,2025,0.25,0.5,0,0,Adventure
19,user_09658,44,Other/Not Specified,USA,44,44,36-50,3.461333333,NA,3.461333333,3.461333333,3,4.333333333,0.615333333,7,2024,2025,2,NA,2,2,4,4,66.875,29.375,0,2024,2025,0.5,0,0,0.25,Sci-Fi
20,user_00399,34,Other/Not Specified,USA,34,34,26-35,4.064,NA,4.064,4.064,3,4.666666667,0.766,9,2024,2024,4,NA,4,4,5,5,33.5,58.94,20,2024,2025,0.4,0.2,0.2,0.2,Animation
21,user_06328,47,Female,USA,47,47,36-50,4.213333333,NA,4.213333333,4.213333333,3,4.333333333,0.803333333,6,2024,2025,2.333333333,NA,2.333333333,2.333333333,3,3,53.63333333,33.8,0,2024,2025,0.333333333,0.333333333,0,0.333333333,Crime
22,user_02690,53,Other/Not Specified,Canada,53,53,50+,3.097333333,NA,3.097333333,3.097333333,3,3,0.524333333,7,2024,2025,3.4,NA,3.4,3.4,5,4,70.875,32.4,0,2024,2025,0.2,0.4,0,0,Comedy
23,user_04693,53,Female,USA,53,53,50+,3.583,NA,3.583,3.583,4,3.75,0.64575,4,2024,2025,3.25,NA,3.25,3.25,4,4,55.725,54.13333333,0,2024,2025,0,0,0.25,0.75,Action
24,user_03362,29,Male,Canada,29,29,26-35,3.142666667,NA,3.142666667,3.142666667,3,3,0.535666667,9,2024,2025,3,NA,3,3,3,2,13.83333333,76.63333333,0,2024,2024,0.333333333,0,0,0,Documentary
25,user_04534,36,Female,Canada,36,36,36-50,3.259,NA,3.259,3.259,4,3.5,0.56475,5,2024,2025,3.75,NA,3.75,3.75,4,4,41.05,80.975,50,2024,2025,0,0.25,0,0,Romance
26,user_05905,31,Female,USA,31,31,26-35,4.341333333,NA,4.341333333,4.341333333,3,4,0.835333333,12,2024,2025,4,NA,4,4,3,3,45.8,62.9,0,2024,2025,0.333333333,0,0.333333333,0.333333333,Horror
27,user_01292,20,Female,USA,20,20,19-25,4.128,NA,4.128,4.128,3,4,0.782,12,2024,2025,3.666666667,NA,3.666666667,3.666666667,3,2,66.3,72.66666667,66.66666667,2025,2025,0,0.333333333,0,0.666666667,Western
28,user_02813,39,Female,USA,39,39,36-50,4.626666667,NA,4.626666667,4.626666667,3,4.666666667,0.906666667,8,2024,2024,4.333333333,NA,4.333333333,4.333333333,3,3,28.93333333,41.6,0,2024,2024,0.333333333,0,0.333333333,0.333333333,Mystery
29,user_03136,44,Other/Not Specified,Canada,44,44,36-50,2.797333333,NA,2.797333333,2.797333333,3,3,0.449333333,8,2024,2024,2.666666667,NA,2.666666667,2.666666667,3,3,49.43333333,53.96666667,0,2025,2025,0,0,0.333333333,0,Biography
30,user_05957,48,Female,USA,48,48,36-50,3.2448,NA,3.2448,3.2448,5,3,0.5612,7,2024,2025,4.333333333,NA,4.333333333,4.333333333,3,3,51.9,37.93333333,0,2024,2025,0.333333333,0,0,0.333333333,War
31,user_05623,44,Other/Not Specified,USA,44,44,36-50,3.977333333,NA,3.977333333,3.977333333,3,5,0.744333333,8,2024,2025,3.6,NA,3.6,3.6,5,4,65.5,74.975,0,2024,2025,0,0.2,0.4,0.4,Fantasy
32,user_09223,53,Male,USA,53,53,50+,2.254,NA,2.254,2.254,4,2.5,0.3135,2,2025,2025,3.75,NA,3.75,3.75,4,3,37.325,17.925,0,2024,2025,0,0,0.75,0.25,Animation
33,user_00764,29,Male,USA,29,29,26-35,3.710666667,NA,3.710666667,3.710666667,3,4,0.677666667,9,2024,2025,4,NA,4,4,3,3,27.4,25.83333333,0,2024,2025,0,0,0.666666667,0.333333333,Horror
34,user_08512,39,Female,USA,39,39,36-50,2.841333333,NA,2.841333333,2.841333333,3,3,0.460333333,9,2024,2025,4,NA,4,4,3,3,51.7,27.4,0,2024,2025,0.333333333,0.333333333,0,0.333333333,Sci-Fi
35,user_01673,35,Other/Not Specified,USA,35,35,26-35,3.652,NA,3.652,3.652,3,4.666666667,0.663,6,2025,2025,2.666666667,NA,2.666666667,2.666666667,3,3,34.55,60.4,0,2024,2025,0.333333333,0.333333333,0,0.333333333,Comedy
