"id","platform","content_id","creator_id","creator_name","content_type","content_category","post_date","language","content_length","content_description","hashtags","views","likes","shares","comments_count","comments_text","follower_count","disclosure_type","audience_age_distribution","audience_gender_distribution","audience_location","year","positive","negative","sentiment_score","sentiment_score_raw","emotional_intensity","word_count","emotional_connection_weighted","emotion_direction","satisfaction_raw","satisfaction","satisfaction_median","satisfaction_binary","satisfaction_log"
33894,"Instagram","content_15231","creator_231","dwilliamson","mixed","beauty",2024-09-12,"English",86,"Itself study bring culture turn care eye though because pressure coach picture attack health rate news statement performance imagine only front.","mention,public",9797,1628,311,200,"doctor quickly claim wall call fact space executive although morning value from before team upon figure news improve able color official car mouth speak what always",403631,"implicit","19-25","female","UK",2024,1,0,1,1,1.5,26,2.11240985996413,"Positive",2139,8.59550561797753,4.97191011235955,1,7.6685611080159
33977,"Instagram","content_12130","creator_2130","bwilliams","video","lifestyle",2024-09-13,"English",113,"Significant purpose couple factor like cold opportunity way baby add American never quite add serve consider president paper argue heart mouth dinner can visit long opportunity force doctor yet production.","modern,successful",9947,1434,316,213,"expert bit difficult yeah statement check",300305,"none","13-18","female","China",2024,0,1,-1,-1,1.5,6,1.65678300365567,"Negative",1963,3.65168539325843,4.97191011235955,0,7.58273848891441
48373,"Bilibili","content_15009","creator_9","xbrown","text","tech",2025-04-05,"English",82,"Energy message toward sell method information result current election up none audience political far whether arm instead thing property modern anything wife audience very.","hit,take,senior,work",10074,1514,306,212,"area weight past realize impact her exist hour item model force",660426,"explicit","36-50","female","Germany",2025,0,0,0,0,1,11,1.5591366261332,"Neutral",2032,5.58988764044944,4.97191011235955,1,7.61726781362835
45275,"RedNote","content_38991","creator_3991","deniselopez","image","beauty",2025-02-20,"English",271,"First little sister structure key indicate kind name forward traditional traditional.","second,once,list",10090,1505,284,190,"plan now however development capital way",511565,"none","36-50","male","Brazil",2025,0,0,0,0,1,6,1.43785533577045,"Neutral",1979,4.10112359550562,4.97191011235955,0,7.59085212368858
52196,"TikTok","content_26176","creator_1176","davidwhitaker","video","lifestyle",2025-05-28,"Chinese",18,"Approach job hundred adult himself scene culture school significant several small stock find single enough they interview may goal drug environmental common.","use,concern",10038,1489,306,201,"break get central save play section card seat make see role glass organization gun stay ago sit strategy",845474,"none","36-50","male","Germany",2025,0,1,-1,-1,1.5,18,1.993806151716,"Negative",1996,4.57865168539326,4.97191011235955,0,7.59940133341582
5335,"TikTok","content_51257","creator_1257","ashleyjohnson","video","tech",2023-08-10,"English",153,"Energy beyond boy condition nation responsibility then language hot political single place skin born idea again method actually significant buy political still now there treatment development since but food thing before water have.","nature,phone,nice,similar",10230,1505,305,208,"heavy indicate though risk determine best audience nothing other charge collection itself face rule four plan better civil church leg benefit top",344856,"none","36-50","male","Brazil",2023,4,1,3,3,2.5,22,2.76381842885764,"Positive",2018,5.19662921348315,4.97191011235955,1,7.61035761831284
3281,"RedNote","content_6943","creator_1943","ccarroll","video","tech",2023-07-13,"English",594,"Ever hair meet yes job wear international lay know approach explain data dinner rate.","how,usually",10062,1490,324,210,"either station senior something position various important avoid administration four son process majority",332163,"implicit","19-25","male","India",2023,1,0,1,1,1.5,13,1.89073382992821,"Positive",2024,5.36516853932584,4.97191011235955,1,7.61332497954064
46456,"Instagram","content_52169","creator_2169","fbowers","image","tech",2025-03-09,"Hindi",179,"Dream watch use but Democrat save course imagine exactly sea later firm force hair yes.","four,two,employee,attorney",10097,1533,320,195,"learn off professor cup year owner money onto building bag send present increase begin author set",271596,"none","26-35","female","Germany",2025,0,0,0,0,1,16,1.63751020604589,"Neutral",2048,6.03932584269663,4.97191011235955,1,7.6251071482389
6028,"TikTok","content_8304","creator_3304","tgordon","video","lifestyle",2023-08-20,"Japanese",193,"Letter her while subject music former accept once action think skin floor.","third",10052,1584,264,194,"create meeting court western hair fine develop them such",990949,"explicit","19-25","female","Germany",2023,1,0,1,1,1.5,9,1.77716782261688,"Positive",2042,5.87078651685393,4.97191011235955,1,7.62217459481762
20878,"TikTok","content_16087","creator_1087","mcollins","video","beauty",2024-03-16,"Spanish",119,"Wish probably operation television vote prove explain.","statement",9948,1534,275,187,"evening strong though go page wonder paper more rule feeling memory box tough know gas act common decade hope big argue treat whatever forget draw",221958,"implicit","19-25","female","UK",2024,3,0,3,3,2.5,25,2.83278625983898,"Positive",1996,4.57865168539326,4.97191011235955,0,7.59940133341582
